search_term	match_term	match_type	gene	drug	interaction_types	sources	pmids
TP53, TRP53	TP53	Definite	TP53	CHEMBL602150	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL227959	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	TERPYRIDINE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL291143	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL259805	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	FENRETINIDE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	PIMOZIDE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL259615	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	MITOXANTRONE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	QUINALIZARIN	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	PROCHLORPERAZINE EDISYLATE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL580421	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	3R14S-OCHRATOXIN A	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	PLUMBAGIN	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	BERZOSERTIB	""	JAX-CKB	""
TP53, TRP53	TP53	Definite	TP53	NORTRIPTYLINE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL546170	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	BENZO[B]FLUORANTHENE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	EMODIN	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	TRACAZOLATE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL408850	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	OLEOYL DOPAMINE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL587620	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	SULCONAZOLE NITRATE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	VENETOCLAX	""	PharmGKB|FDA	""
TP53, TRP53	TP53	Definite	TP53	METHYL ROBUSTONE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	PROPARGITE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	GR-127935	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	TEROXIRONE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	GLUTARAL	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	DOPAMINE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	GRANISETRON	""	ClearityFoundationClinicalTrial	""
TP53, TRP53	TP53	Definite	TP53	PERPHENAZINE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	MICHLER'S KETONE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL528807	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	BENZO(K)FLUORANTHENE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	GENISTEIN	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	3-METHOXYCATECHOL	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	NIGULDIPINE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	THIMEROSAL	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	NITAZOXANIDE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL261693	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHLOROTHALONIL	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL177809	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL429095	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL297784	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL410484	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	DAUNORUBICIN HYDROCHLORIDE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL1333386	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	MITOXANTRONE HYDROCHLORIDE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL428789	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	TEPRASIRAN	""	TTD	""
TP53, TRP53	TP53	Definite	TP53	MELPHALAN	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	DIHYDROGAMBOGIC ACID	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL260028	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL600347	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL233194	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	QUINACRINE DIHYDROCHLORIDE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	ECONAZOLE NITRATE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	DECITABINE	""	CGI	""
TP53, TRP53	TP53	Definite	TP53	HOMIDIUM BROMIDE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	4-ISOTHIOUREIDOBUTYRONITRILE	""	JAX-CKB|TTD	""
TP53, TRP53	TP53	Definite	TP53	ANTIMYCIN A	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	THUNBERGINOL B	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	U-50488 METHANE SULFONATE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL260451	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	METHYLBENZETHONIUM CHLORIDE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL2002487	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL601757	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL528712	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	BENZALKONIUM CHLORIDE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	KINETIN RIBOSIDE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	IODOACETAMIDE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	AMOXAPINE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	RIMCAZOLE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL225513	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	MERCAPTOPURINE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL259422	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	SB-224289	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	ASTEMIZOLE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHLORPROMAZINE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	MECHLORETHAMINE HYDROCHLORIDE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	FUROXAN	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL406557	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	2,6-DIMETHOXYQUINONE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	THIORIDAZINE HYDROCHLORIDE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	ALPHA-NAPHTHOFLAVONE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL260560	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL1256697	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL1346468	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	DEOXIEPINEPHRINE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL590665	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL186526	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	TRANILAST	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CIS-RESVERATROL	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CLIOQUINOL	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	ENCORAFENIB	""	JAX-CKB	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL563919	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	TYRPHOSTIN A9	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL201325	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL1389794	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL602922	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHELERYTHRINE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL1494650	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	PAROXETINE HYDROCHLORIDE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CARBENDAZIM	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	ACEQUINOCYL	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL601140	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	SANGUINARINE SULFATE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	PHENYLMERCURIC ACETATE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	DIBENZ[A,H]ANTHRACENE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL579550	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	TRIAMTERENE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL320361	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	DIMETHYL GAMBOGATE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CLOFOCTOL	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	ALT-801	""	TTD	""
TP53, TRP53	TP53	Definite	TP53	MERCURIC CHLORIDE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL99408	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL591126	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL26320	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL195350	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	E-FLUPENTIXOL	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	PIPLARTINE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL154580	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	DOXORUBICIN HYDROCHLORIDE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	EMBELIN	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL1326499	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CLADRIBINE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	METHYLENE BLUE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL600334	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	PROPACHLOR	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	TRIACETYLRESVERATROL	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	INDOPROFEN	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL88272	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL85194	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL473735	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL405317	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	MUNDULONE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL1522984	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHLOROXINE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	OLEAMIDE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL374632	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL1303948	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	FURAZOLIDONE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL259784	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL66114	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL599943	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL422942	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	PROCHLORPERAZINE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHLORANIL	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL582715	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	DICHLOROPHEN	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	GEMCITABINE	""	JAX-CKB|CGI	27815358|27167172|26228206|21389100|23520471
TP53, TRP53	TP53	Definite	TP53	EPIRUBICIN	""	JAX-CKB|PharmGKB	22903472|17388661
TP53, TRP53	TP53	Definite	TP53	TRAMETINIB	""	JAX-CKB	27659046
TP53, TRP53	TP53	Definite	TP53	DOXORUBICIN	""	DTC|JAX-CKB|CGI|CIViC	26826118|23165797|16243804|25658463|21399868|17363498|9569050|22698404|26288684|24065105
TP53, TRP53	TP53	Definite	TP53	CISPLATIN	""	JAX-CKB|NCI|CGI|CIViC	23839309|25964101|25376608|28652249|26294215|18618574|25567130|23428903|27179933|26086967|9600935|8678559|11812076|11595686|14514923
TP53, TRP53	TP53	Definite	TP53	TEMOZOLOMIDE	""	JAX-CKB|CIViC	21730979|24248532
TP53, TRP53	TP53	Definite	TP53	IFOSFAMIDE	""	JAX-CKB	23165797
TP53, TRP53	TP53	Definite	TP53	PROPYLTHIOURACIL	""	NCI	7790147
TP53, TRP53	TP53	Definite	TP53	MITOMYCIN	""	CIViC	14514923
TP53, TRP53	TP53	Definite	TP53	CINNARIZINE	""	DTC	16680159
TP53, TRP53	TP53	Definite	TP53	PRODIGIOSIN	""	JAX-CKB	26759239
TP53, TRP53	TP53	Definite	TP53	CGM-097	""	JAX-CKB|TTD	27659046
TP53, TRP53	TP53	Definite	TP53	PUROMYCIN	""	NCI	11866936
TP53, TRP53	TP53	Definite	TP53	CRIZOTINIB	""	JAX-CKB	27149990|25971938|26438783
TP53, TRP53	TP53	Definite	TP53	SIROLIMUS	""	JAX-CKB|NCI	16651424|26144316
TP53, TRP53	TP53	Definite	TP53	ERLOTINIB	""	JAX-CKB	27659046
TP53, TRP53	TP53	Definite	TP53	DACTOLISIB	""	JAX-CKB	26272063
TP53, TRP53	TP53	Definite	TP53	TAMOXIFEN	""	DTC|CIViC	10786679
TP53, TRP53	TP53	Definite	TP53	VEMURAFENIB	""	JAX-CKB	28514312|26343583
TP53, TRP53	TP53	Definite	TP53	NUTLIN-3	""	DTC|JAX-CKB	19928922|24268795|26288684|21058726|26494859|25964101|26883273
TP53, TRP53	TP53	Definite	TP53	CHEMBL198759	""	DTC	16862141
TP53, TRP53	TP53	Definite	TP53	ATRACTYLENOLIDE I	""	DTC	22365756
TP53, TRP53	TP53	Definite	TP53	OLAPARIB	""	JAX-CKB	22172724
TP53, TRP53	TP53	Definite	TP53	TRIFLURIDINE	""	JAX-CKB	25700705
TP53, TRP53	TP53	Definite	TP53	VORINOSTAT	""	JAX-CKB|CIViC	25669829|26009011
TP53, TRP53	TP53	Definite	TP53	PROGESTERONE	""	NCI	16684279
TP53, TRP53	TP53	Definite	TP53	APR-246	""	JAX-CKB|TTD	21415220|21239882|22965953|27179933|26086967
TP53, TRP53	TP53	Definite	TP53	DAUNORUBICIN	""	JAX-CKB	16243804
TP53, TRP53	TP53	Definite	TP53	ALVESPIMYCIN	""	JAX-CKB	26009011
TP53, TRP53	TP53	Definite	TP53	FENOFIBRATE	""	DTC	16680159
TP53, TRP53	TP53	Definite	TP53	DASATINIB	""	JAX-CKB	26855149
TP53, TRP53	TP53	Definite	TP53	DABRAFENIB	""	JAX-CKB	27659046
TP53, TRP53	TP53	Definite	TP53	CLOTRIMAZOLE	""	DTC	16680159
TP53, TRP53	TP53	Definite	TP53	CHEMBL1801219	""	DTC	20605095
TP53, TRP53	TP53	Definite	TP53	LY-3009120	""	JAX-CKB	26343583
TP53, TRP53	TP53	Definite	TP53	OXALIPLATIN	""	JAX-CKB|CIViC	24957073|21468686
TP53, TRP53	TP53	Definite	TP53	RITUXIMAB	""	NCI	11895917
TP53, TRP53	TP53	Definite	TP53	HALOPERIDOL	""	NCI	16476148
TP53, TRP53	TP53	Definite	TP53	PAZOPANIB	""	JAX-CKB|CIViC	26646755|25669829
TP53, TRP53	TP53	Definite	TP53	NAVITOCLAX	""	JAX-CKB	26474387|27659046
TP53, TRP53	TP53	Definite	TP53	ABEMACICLIB	""	JAX-CKB|CGI	27217383
TP53, TRP53	TP53	Definite	TP53	AVASTIN	""	JAX-CKB	21399868
TP53, TRP53	TP53	Definite	TP53	PIMASERTIB	""	JAX-CKB	26228206
TP53, TRP53	TP53	Definite	TP53	LB-100	""	JAX-CKB	25376608
TP53, TRP53	TP53	Definite	TP53	AZD-7762	""	JAX-CKB	23839309
TP53, TRP53	TP53	Definite	TP53	ROTENONE	""	DTC	16680159
TP53, TRP53	TP53	Definite	TP53	TOPOTECAN	""	JAX-CKB	26438783
TP53, TRP53	TP53	Definite	TP53	PHA-680632	""	JAX-CKB	18026198
TP53, TRP53	TP53	Definite	TP53	CETUXIMAB	""	CIViC	24957073
TP53, TRP53	TP53	Definite	TP53	INOSITOL	""	NCI	16733561
TP53, TRP53	TP53	Definite	TP53	PACLITAXEL	""	JAX-CKB|NCI|CIViC	16459017|24065105
TP53, TRP53	TP53	Definite	TP53	STREPTONIGRIN	""	NCI	12027749
TP53, TRP53	TP53	Definite	TP53	O-DEMETHYLATED ADAPALENE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL1397308	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL578512	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	RIBAVIRIN	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHLORAMBUCIL	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	APOMORPHINE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	ONONIN	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL261123	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	ZIRAM	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL1169388	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	NEBULARINE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	PYRACLOSTROBIN	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CLOMIPRAMINE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CYTARABINE	""	JAX-CKB	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL533226	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CADMIUM DICHLORIDE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	TRICLOCARBAN	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	GALLIC ACID	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	2-AMINOANTHRACENE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	ELLIPTECINE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHLORFENAPYR	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL545900	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	HEXACHLOROPHENE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	(Z)-PIPLARTINE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL261118	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	ETHOPROPAZINE HYDROCHLORIDE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL596633	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL408563	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	(S)APOMORPHINE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	RALOXIFENE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	DUVELISIB	""	JAX-CKB	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL285819	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CLEMASTINE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	BENOMYL	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	LAPACHONE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	DAIDZEIN	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	SALMETEROL XINAFOATE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	TRIFLUPROMAZINE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL1343568	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	NICLOSAMIDE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	TAMOXIFEN CITRATE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	(R,S)-INDATRALINE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	(R)-INDOPROFEN	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL35482	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	BAICALEIN	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CAULIBUGULONE C	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL259421	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CAULIBUGULONE B	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	DINOSEB	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CYAZOFAMID	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL271023	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL411085	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	4-METHOXYDALBERGIONE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	RESVERATROL	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	INDIRUBIN-3-MONOXIME	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	ANISINDIONE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL1702181	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	HYDRALAZINE HYDROCHLORIDE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL421215	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	ROBUSTIC ACID	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL184450	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	KRESOXIM-METHYL	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	SERTRALINE HYDROCHLORIDE	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	PENTACHLOROPHENOL	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	TPCK	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL267160	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL27006	""	DTC	""
TP53, TRP53	TP53	Definite	TP53	CHEMBL530049	""	DTC	""
