tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	9370	0	live	ADIPOQ	ACDC, ACRP30, ADIPQTL1, ADPN, APM-1, APM1, GBP28	adiponectin, C1Q and collagen domain containing	adiponectin|30 kDa adipocyte complement-related protein|adipocyte complement-related 30 kDa protein|adipose most abundant gene transcript 1 protein|adipose specific collagen-like factor|gelatin-binding protein 28	3q27.3	3	NC_000003.12	186842710	186858463	plus	4	605441	
9606	Homo sapiens	1401	0	live	CRP	PTX1	C-reactive protein	C-reactive protein|C-reactive protein, pentraxin-related|pentraxin 1	1q23.2	1	NC_000001.11	159712289	159714589	minus	3	123260	
9606	Homo sapiens	5243	0	live	ABCB1	ABC20, CD243, CLCS, GP170, MDR1, P-GP, PGY1, p-170	ATP binding cassette subfamily B member 1	ATP-dependent translocase ABCB1|ATP-binding cassette, sub-family B (MDR/TAP), member 1|P-glycoprotein 1|colchicin sensitivity|doxorubicin resistance|multidrug resistance protein 1|phospholipid transporter ABCB1	7q21.12	7	NC_000007.14	87503017	87713295	minus	32	171050	
9606	Homo sapiens	3845	0	live	KRAS	'C-K-RAS, C-K-RAS, CFC2, K-RAS2A, K-RAS2B, K-RAS4A, K-RAS4B, K-Ras, K-Ras 2, KI-RAS1, KRAS2, NS, NS3, OES, RALD, RASK2, c-Ki-ras, c-Ki-ras2, KRAS	KRAS proto-oncogene, GTPase	GTPase KRas|K-ras p21 protein|Kirsten rat sarcoma viral oncogene homolog|Kirsten rat sarcoma viral proto-oncogene|PR310 c-K-ras oncogene|c-Kirsten-ras protein|cellular c-Ki-ras2 proto-oncogene|cellular transforming proto-oncogene|oncogene KRAS2|transforming protein p21|v-Ki-ras2 Kirsten rat sarcoma 2 viral oncogene homolog	12p12.1	12	NC_000012.12	25205246	25250929	minus	6	190070	
9606	Homo sapiens	673	0	live	BRAF	B-RAF1, B-raf1, NS7, RAFB1, BRAF	B-Raf proto-oncogene, serine/threonine kinase	serine/threonine-protein kinase B-raf|94 kDa B-raf protein|B-Raf proto-oncogene serine/threonine-protein kinase (p94)|B-Raf serine/threonine-protein|murine sarcoma viral (v-raf) oncogene homolog B1|proto-oncogene B-Raf|v-raf murine sarcoma viral oncogene homolog B|v-raf murine sarcoma viral oncogene homolog B1	7q34	7	NC_000007.14	140713328	140924929	minus	23	164757	
9606	Homo sapiens	367	0	live	AR	AIS8, DHTR, HUMARA, HYSP1, KD, NR3C4, SBMA, SMAX1, TFM, AR	androgen receptor	androgen receptor|dihydrotestosterone receptor|nuclear receptor subfamily 3 group C member 4	Xq12	X	NC_000023.11	67544021	67730619	plus	11	313700	
9606	Homo sapiens	627	0	live	BDNF	ANON2, BULN2	brain derived neurotrophic factor	brain-derived neurotrophic factor|abrineurin|neurotrophin	11p14.1	11	NC_000011.10	27654893	27722030	minus	12	113505	
9606	Homo sapiens	207	0	live	AKT1	AKT, PKB, PKB-ALPHA, PRKBA, RAC, RAC-ALPHA	AKT serine/threonine kinase 1	RAC-alpha serine/threonine-protein kinase|AKT1m|PKB alpha|RAC-PK-alpha|protein kinase B alpha|proto-oncogene c-Akt|rac protein kinase alpha|serine-threonine protein kinase|v-akt murine thymoma viral oncogene homolog 1|v-akt murine thymoma viral oncogene-like protein 1	14q32.33	14	NC_000014.9	104769349	104795748	minus	15	164730	
9606	Homo sapiens	3123	0	live	HLA-DRB1	DRB1, HLA-DR1B, HLA-DRB, SS1	major histocompatibility complex, class II, DR beta 1	major histocompatibility complex, class II, DR beta 1 precursor|HLA class II histocompatibility antigen, DR-1 beta chain|MHC class II HLA-DR beta 1 chain|human leucocyte antigen DRB1|lymphocyte antigen DRB1	6p21.32	6	NC_000006.12	32578775	32589848	minus	6	142857	
9606	Homo sapiens	4790	0	live	NFKB1	CVID12, EBP-1, KBF1, NF-kB, NF-kB1, NF-kappa-B1, NF-kappaB, NF-kappabeta, NFKB-p105, NFKB-p50, NFkappaB	nuclear factor kappa B subunit 1	nuclear factor NF-kappa-B p105 subunit|DNA-binding factor KBF1|nuclear factor NF-kappa-B p50 subunit|nuclear factor kappa-B DNA binding subunit|nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	4q24	4	NC_000004.12	102501266	102617302	plus	27	164011	
9606	Homo sapiens	7421	0	live	VDR	NR1I1, PPP1R163	vitamin D receptor	vitamin D3 receptor|1,25-dihydroxyvitamin D3 receptor|nuclear receptor subfamily 1 group I member 1|protein phosphatase 1, regulatory subunit 163|vitamin D (1,25- dihydroxyvitamin D3) receptor|vitamin D nuclear receptor variant 1|vitamin D3 receptor isoform VDRA	12q13.11	12	NC_000012.12	47841537	47905022	minus	12	601769	
10090	Mus musculus	21926	0	live	Tnf	DI, DIF, TNF-, TNF-a, TNF-alpha, TNFSF2, TNFalpha, Tna, Tnfs, Tnfsf1a, Tnlg1f, Tnf	tumor necrosis factor	tumor necrosis factor|cachectin|tumor necrosis factor ligand 1f|tumor necrosis factor ligand superfamily member 2|tumor necrosis factor-alpha	17 18.59 cM	17	NC_000083.7	35418343	35420983	minus	4		
9606	Homo sapiens	3553	0	live	IL1B	IL-1, IL1-BETA, IL1F2, IL1beta	interleukin 1 beta	interleukin-1 beta|IL-1 beta|catabolin|interleukin 1beta|preinterleukin 1 beta|pro-interleukin-1-beta	2q14.1	2	NC_000002.12	112829751	112836843	minus	7	147720	
9606	Homo sapiens	1029	0	live	CDKN2A	ARF, CDK4I, CDKN2, CMM2, INK4, INK4A, MLM, MTS-1, MTS1, P14, P14ARF, P16, P16-INK4A, P16INK4, P16INK4A, P19, P19ARF, TP16	cyclin dependent kinase inhibitor 2A	cyclin-dependent kinase inhibitor 2A|CDK4 inhibitor p16-INK4|alternative reading frame|cell cycle negative regulator beta|cyclin-dependent kinase 4 inhibitor A|cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)|multiple tumor suppressor 1	9p21.3	9	NC_000009.12	21967752	21995324	minus	8	600160	
9606	Homo sapiens	5728	0	live	PTEN	10q23del, BZS, CWS1, DEC, GLM2, MHAM, MMAC11, PTENbeta, TEP1, PTEN	phosphatase and tensin homolog	phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN|MMAC1 phosphatase and tensin homolog deleted on chromosome 10|PTENepsilon|mitochondrial PTENalpha|mitochondrial phosphatase and tensin protein alpha|mutated in multiple advanced cancers 1|phosphatase and tensin-like protein|phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN|protein tyrosine phosphatase	10q23.31	10	NC_000010.11	87863625	87971930	plus	10	601728	
9606	Homo sapiens	5743	0	live	PTGS2	COX-2, COX2, GRIPGHS, PGG/HS, PGHS-2, PHS-2, hCox-2	prostaglandin-endoperoxide synthase 2	prostaglandin G/H synthase 2|PGH synthase 2|PHS II|cyclooxygenase 2|cyclooxygenase 2b|prostaglandin H2 synthase 2|prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	1q31.1	1	NC_000001.11	186671791	186680423	minus	10	600262	
9606	Homo sapiens	1499	0	live	CTNNB1	CTNNB, EVR7, MRD19, NEDSDV, armadillo	catenin beta 1	catenin beta-1|catenin (cadherin-associated protein), beta 1, 88kDa	3p22.1	3	NC_000003.12	41199422	41240445	plus	19	116806	
9606	Homo sapiens	7099	0	live	TLR4	ARMD10, CD284, TLR-4, TOLL	toll like receptor 4	toll-like receptor 4|hToll|homolog of Drosophila toll|toll like receptor 4 protein	9q33.1	9	NC_000009.12	117704403	117724735	plus	4	603030	
9606	Homo sapiens	4846	0	live	NOS3	ECNOS, eNOS	nitric oxide synthase 3	nitric oxide synthase, endothelial|EC-NOS|NOS type III|NOSIII|cNOS|constitutive NOS|endothelial NOS|nitric oxide synthase 3 (endothelial cell)|nitric oxide synthase 3 transcript variant eNOS-delta20|nitric oxide synthase 3 transcript variant eNOS-delta20-21|nitric oxide synthase 3 transcript variant eNOS-delta21	7q36.1	7	NC_000007.14	150991017	151014588	plus	28	163729	
9606	Homo sapiens	1312	0	live	COMT	HEL-S-98n	catechol-O-methyltransferase	catechol O-methyltransferase|epididymis secretory sperm binding protein Li 98n|testicular tissue protein Li 42	22q11.21	22	NC_000022.11	19941772	19969975	plus	8	116790	
9606	Homo sapiens	1080	0	live	CFTR	ABC35, ABCC7, CF/MRP, MRP7, TNR-CFTR, dJ760C5.1, CFTR	CF transmembrane conductance regulator	cystic fibrosis transmembrane conductance regulator|cAMP-dependent chloride channel|channel conductance-controlling ATPase|cystic fibrosis transmembrane conductance regulating|cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)	7q31.2	7	NC_000007.14	117480025	117668665	plus	27	602421	
9606	Homo sapiens	3576	0	live	CXCL8	GCP-1, GCP1, IL8, LECT, LUCT, LYNAP, MDNCF, MONAP, NAF, NAP-1, NAP1, SCYB8	C-X-C motif chemokine ligand 8	interleukin-8|T-cell chemotactic factor|alveolar macrophage chemotactic factor I|beta endothelial cell-derived neutrophil activating peptide|beta-thromboglobulin-like protein|chemokine (C-X-C motif) ligand 8|emoctakin|granulocyte chemotactic protein 1|interleukin 8|lung giant cell carcinoma-derived chemotactic protein|lymphocyte derived neutrophil activating peptide|monocyte-derived neutrophil chemotactic factor|monocyte-derived neutrophil-activating peptide|neutrophil-activating peptide 1|small inducible cytokine subfamily B, member 8|tumor necrosis factor-induced gene 1	4q13.3	4	NC_000004.12	73740569	73743716	plus	3	146930	
9606	Homo sapiens	6622	0	live	SNCA	NACP, PARK1, PARK4, PD1	synuclein alpha	alpha-synuclein|I+/--synuclein|non A-beta component of AD amyloid|synuclein alpha-140|synuclein, alpha (non A4 component of amyloid precursor)|truncated alpha synuclein	4q22.1	4	NC_000004.12	89724099	89838324	minus	13	163890	
9606	Homo sapiens	5468	0	live	PPARG	CIMT1, GLM1, NR1C31, PPARG2, PPARG5, PPARgamma, PPARG	peroxisome proliferator activated receptor gamma	peroxisome proliferator-activated receptor gamma|PPAR-gamma|nuclear receptor subfamily 1 group C member 3|peroxisome proliferator-activated nuclear receptor gamma variant 1|peroxisome proliferator-activated receptor-gamma 5|peroxisome proliferator-activated receptor-gamma splicing	3p25.2	3	NC_000003.12	12287368	12434344	plus	14	601487	
9606	Homo sapiens	7015	0	live	TERT	CMM9, DKCA2, DKCB4, EST2, PFBMFT1, TCS1, TP2, TRT, hEST2, hTRT	telomerase reverse transcriptase	telomerase reverse transcriptase|telomerase catalytic subunit|telomerase-associated protein 2	5p15.33	5	NC_000005.10	1253167	1295068	minus	16	187270	
9606	Homo sapiens	4609	0	live	MYC	MRTLC, bHLHe39, c-Myc, MYC	MYC proto-oncogene, bHLH transcription factor	myc proto-oncogene protein|avian myelocytomatosis viral oncogene homolog|class E basic helix-loop-helix protein 39|myc-related translation/localization regulatory factor|proto-oncogene c-Myc|transcription factor p64|v-myc avian myelocytomatosis viral oncogene homolog|v-myc myelocytomatosis viral oncogene homolog	8q24.21	8	NC_000008.11	127735434	127742951	plus	3	190080	
9606	Homo sapiens	4137	0	live	MAPT	DDPAC, FTDP-17L, MSTD, MTBT1, MTBT2, PPND, PPP1R103, TAU, tau-40, MAPT	microtubule associated protein tau	microtubule-associated protein tau|G protein beta1/gamma2 subunit-interacting factor 1|PHF-tau|neurofibrillary tangle protein|paired helical filament-tau|protein phosphatase 1, regulatory subunit 103	17q21.31	17	NC_000017.11	45894538	46028334	plus	16	157140	
9606	Homo sapiens	999	0	live	CDH1	Arc-1, BCDS1, CD324, CDHE, ECAD, LCAM, UVO	cadherin 1	cadherin-1|CAM 120/80|E-cadherin 1|cadherin 1, E-cadherin (epithelial)|cadherin 1, type 1, E-cadherin (epithelial)|calcium-dependent adhesion protein, epithelial|cell-CAM 120/80|epididymis secretory sperm binding protein|epithelial cadherin|uvomorulin	16q22.1	16	NC_000016.10	68737292	68835537	plus	16	192090	
9606	Homo sapiens	2475	0	live	MTOR	FRAP, FRAP1, FRAP2, RAFT1, RAPT1, SKS	mechanistic target of rapamycin kinase	serine/threonine-protein kinase mTOR|FK506 binding protein 12-rapamycin associated protein 2|FK506-binding protein 12-rapamycin complex-associated protein 1|FKBP-rapamycin associated protein|FKBP12-rapamycin complex-associated protein 1|mammalian target of rapamycin|mechanistic target of rapamycin (serine/threonine kinase)|rapamycin and FKBP12 target 1|rapamycin associated protein FRAP2|rapamycin target protein 1	1p36.22	1	NC_000001.11	11106535	11273497	minus	60	601231	
9606	Homo sapiens	3479	0	live	IGF1	IGF, IGF-I, IGFI, MGF	insulin like growth factor 1	insulin-like growth factor I|insulin-like growth factor 1 (somatomedin C)|insulin-like growth factor IB|mechano growth factor|somatomedin-C	12q23.2	12	NC_000012.12	102395860	102481839	minus	7	147440	
9606	Homo sapiens	29126	0	live	CD274	B7-H, B7H1, PD-L1, PDCD1L1, PDCD1LG1, PDL1, hPD-L1	CD274 molecule	programmed cell death 1 ligand 1|B7 homolog 1|CD274 antigen|PDCD1 ligand 1	9p24.1	9	NC_000009.12	5450542	5470554	plus	7	605402	
9606	Homo sapiens	596	0	live	BCL2	Bcl-2, PPP1R50	BCL2 apoptosis regulator	apoptosis regulator Bcl-2|B-cell CLL/lymphoma 2|protein phosphatase 1, regulatory subunit 50	18q21.33	18	NC_000018.10	63123346	63320280	minus	6	151430	
10090	Mus musculus	16193	0	live	Il6	Il, Il-6	interleukin 6	interleukin-6|B-cell hybridoma growth factor|interleukin HP-1	5 15.7 cM	5	NC_000071.7	30218112	30224973	plus	5		
10090	Mus musculus	21803	0	live	Tgfb1	TGF-beta, TGF-beta1, TGFbeta, TGFbeta1, Tgfb, Tgfb-1	transforming growth factor, beta 1	transforming growth factor beta-1 proprotein	7 13.98 cM	7	NC_000073.7	25386406	25404503	plus	7		
9606	Homo sapiens	3952	0	live	LEP	LEPD, OB, OBS	leptin	leptin|leptin (murine obesity homolog)|leptin (obesity homolog, mouse)|obese protein|obese, mouse, homolog of|obesity factor	7q32.1	7	NC_000007.14	128241201	128257629	plus	3	164160	
9606	Homo sapiens	7852	0	live	CXCR4	CD184, D2S201E, FB22, HM89, HSY3RR, LAP-3, LAP3, LCR1, LESTR, NPY3R, NPYR, NPYRL, NPYY3R, WHIM, WHIMS	C-X-C motif chemokine receptor 4	C-X-C chemokine receptor type 4|CD184 antigen|LPS-associated protein 3|SDF-1 receptor|chemokine (C-X-C motif) receptor 4|fusin|leukocyte-derived seven transmembrane domain receptor|lipopolysaccharide-associated protein 3|neuropeptide Y receptor Y3|neuropeptide Y3 receptor|seven transmembrane helix receptor|seven-transmembrane-segment receptor, spleen|stromal cell-derived factor 1 receptor	2q22.1	2	NC_000002.12	136114349	136118149	minus	4	162643	
9606	Homo sapiens	2944	0	live	GSTM1	GST1-1, GSTM1a-1a, GSTM1b-1b, GTH4, GTM1, H-B, MU, MU-1, GSTM1	glutathione S-transferase mu 1	glutathione S-transferase Mu 1|GST HB subunit 4|GST class-mu 1|HB subunit 4|S-(hydroxyalkyl)glutathione lyase|glutathione S-alkyltransferase|glutathione S-aralkyltransferase|glutathione S-aryltransferase|glutathione S-transferase M1	1p13.3	1	NC_000001.11	109687817	109693745	plus	8	138350	
9606	Homo sapiens	3458	0	live	IFNG	IFG, IFI, IMD69	interferon gamma	interferon gamma|IFN-gamma|immune interferon	12q15	12	NC_000012.12	68154768	68159740	minus	4	147570	
9606	Homo sapiens	675	0	live	BRCA2	BRCC2, BROVCA2, FACD, FAD, FAD1, FANCD, FANCD1, GLM3, PNCA2, XRCC11	BRCA2 DNA repair associated	breast cancer type 2 susceptibility protein|BRCA1/BRCA2-containing complex, subunit 2|Fanconi anemia group D1 protein|breast and ovarian cancer susceptibility gene, early onset|breast and ovarian cancer susceptibility protein 2|breast cancer 2 tumor suppressor|breast cancer 2, early onset|mutant BRCA2|truncated BRCA2 DNA repair associated|truncated BRCA2 DNA repair-associated protein|truncated DNA repair-associated BRCA2|truncated DNA repair-associated protein|truncated breast cancer 2	13q13.1	13	NC_000013.11	32315508	32400268	plus	27	600185	
9606	Homo sapiens	4193	0	live	MDM2	ACTFS, HDMX, LSKB, hdm2	MDM2 proto-oncogene	E3 ubiquitin-protein ligase Mdm2|MDM2 oncogene, E3 ubiquitin protein ligase|MDM2 proto-oncogene, E3 ubiquitin protein ligase|Mdm2, p53 E3 ubiquitin protein ligase homolog|Mdm2, transformed 3T3 cell double minute 2, p53 binding protein|double minute 2, human homolog of; p53-binding protein|oncoprotein Mdm2	12q15	12	NC_000012.12	68808149	68850686	plus	13	164785	
9606	Homo sapiens	3717	0	live	JAK2	JTK10	Janus kinase 2	tyrosine-protein kinase JAK2|JAK-2|Janus kinase 2 (a protein tyrosine kinase)	9p24.1	9	NC_000009.12	4984390	5129948	plus	27	147796	
9606	Homo sapiens	4313	0	live	MMP2	CLG4, CLG4A, MMP-2, MMP-II, MONA, TBE-1	matrix metallopeptidase 2	72 kDa type IV collagenase|collagenase type IV-A|matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)|matrix metalloproteinase-2|matrix metalloproteinase-II|neutrophil gelatinase	16q12.2	16	NC_000016.10	55478830	55506691	plus	17	120360	
9606	Homo sapiens	5594	0	live	MAPK1	ERK, ERK-2, ERK2, ERT1, MAPK2, NS13, P42MAPK, PRKM1, PRKM2, p38, p40, p41, p41mapk, p42-MAPK	mitogen-activated protein kinase 1	mitogen-activated protein kinase 1|MAP kinase 1|MAP kinase 2|MAPK 2|extracellular signal-regulated kinase 2|mitogen-activated protein kinase 2|protein tyrosine kinase ERK2	22q11.22	22	NC_000022.11	21759657	21867680	minus	9	176948	
9606	Homo sapiens	595	0	live	CCND1	BCL1, D11S287E, PRAD1, U21B31	cyclin D1	G1/S-specific cyclin-D1|B-cell CLL/lymphoma 1|B-cell lymphoma 1 protein|BCL-1 oncogene|PRAD1 oncogene	11q13.3	11	NC_000011.10	69641156	69654474	plus	5	168461	
9606	Homo sapiens	5054	0	live	SERPINE1	PAI, PAI-1, PAI1, PLANH1	serpin family E member 1	plasminogen activator inhibitor 1|endothelial plasminogen activator inhibitor|serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1|serpin E1|serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	7q22.1	7	NC_000007.14	101127104	101139247	plus	9	173360	
9606	Homo sapiens	4780	0	live	NFE2L2	HEBP1, IMDDHH, NRF2, Nrf-2	nuclear factor, erythroid 2 like 2	nuclear factor erythroid 2-related factor 2|nuclear factor erythroid-derived 2-like 2	2q31.2	2	NC_000002.12	177230303	177265131	minus	6	600492	
9606	Homo sapiens	5444	0	live	PON1	ESA, MVCD5, PON	paraoxonase 1	serum paraoxonase/arylesterase 1|A-esterase 1|K-45|PON 1|aromatic esterase 1|arylesterase 1|arylesterase B-type|esterase A|paraoxonase B-type|serum aryldiakylphosphatase|serum aryldialkylphosphatase 1	7q21.3	7	NC_000007.14	95297676	95324532	minus	9	168820	
9606	Homo sapiens	6347	0	live	CCL2	GDCF-2, HC11, HSMCR30, MCAF, MCP-1, MCP1, SCYA2, SMC-CF	C-C motif chemokine ligand 2	C-C motif chemokine 2|chemokine (C-C motif) ligand 2|monocyte chemoattractant protein-1|monocyte chemotactic and activating factor|monocyte chemotactic protein 1|monocyte secretory protein JE|small inducible cytokine A2 (monocyte chemotactic protein 1, homologous to mouse Sig-je)|small inducible cytokine subfamily A (Cys-Cys), member 2|small-inducible cytokine A2	17q12	17	NC_000017.11	34255285	34257203	plus	3	158105	
9606	Homo sapiens	1234	0	live	CCR5	CC-CKR-5, CCCKR5, CCR-5, CD195, CKR-5, CKR5, CMKBR5, IDDM22	C-C motif chemokine receptor 5	C-C chemokine receptor type 5|C-C motif chemokine receptor 5 A159A|HIV-1 fusion coreceptor|chemokine (C-C motif) receptor 5|chemokine receptor CCR5|chemokine recptor CCR5 Delta32|chemr13	3p21.31	3	NC_000003.12	46370142	46376206	plus	3	601373	
